model,od_source,matched_od,total_generated,match_rate,Distance_JSD,Radius_JSD,Duration_JSD,Distance_gen_mean,Hausdorff_km,DTW_km,EDR
distilled,test,4333,4910,88.24847250509164,0.01615126697140958,0.0033920031060153703,0.020845221989200677,6.337116811575722,0.9449642461385326,27.62121671686491,0.4829287789284231
distilled_seed44,test,557,4610,12.082429501084599,0.15278741140769622,0.20565183420635158,0.01750376568149157,2.3264241899736477,0.5582722503076899,8.63581416259785,0.5128657160666014
vanilla,test,4204,4907,85.6735276136132,0.019198945514429574,0.0038465602050515536,0.023717596690794665,6.478428983774565,0.9660740050706184,28.39607912520509,0.48836514104334494
distilled,train,4433,4959,89.39302278685219,0.01780181446815138,0.0028144833822870015,0.020534328831847134,6.441333033926585,0.9715697746990188,28.349196126752638,0.5064128954048089
distilled_seed44,train,824,4654,17.705199828104856,0.14446821263082626,0.19792440100347958,0.017896905865542212,2.4275211425810435,0.5063591111091471,7.674134244984469,0.5039132680248487
vanilla,train,4254,4960,85.76612903225806,0.02166152486211892,0.0034100237598768757,0.02370202844697565,6.675732622253349,0.9959339177452162,29.025255214119095,0.5051707461343656
